"","words","kind"
"266","Portsmouth","location"
"267","Botany Bay","location"
"268","Herbert","location"
"269","Essex Street","location"
"270","Abel Magwitch","person"
"271","New South Wales","location"
"272","India","location"
"273","Provis","location"
"274","Arthur","person"
"275","Sally","person"
"276","Essex","location"
"277","Provis","person"
"278","Mr Drummle","person"
"279","Drummle","location"
"280","Matthew Pocket","person"
"281","Philip Pip","person"
"282","Mary Anne","person"
"283","Richard","person"
"284","Garden","location"
"285","Chinks","location"
"286","Captain Cook","person"
"287","Clara Barley","person"
"288","Bill Barley","person"
"289","Windsor","location"
"290","Mr Campbell","person"
"291","Christmas","person"
"292","Mr Wopsle","location"
"293","Old Orlick","location"
"294","Wolf","person"
"295","Kent","person"
"296","Gravesend","location"
"297","Hamburg","location"
"298","Cairo","location"
"299","Camberwell Green","person"
"300","Sentences","location"
"301","William","person"
"302","Temple Gardens","location"
