gutenberg_id,text,title,author
19726,,The Door Through Space,"Bradley, Marion Zimmer"
19726,,The Door Through Space,"Bradley, Marion Zimmer"
19726,CHAPTER ONE,The Door Through Space,"Bradley, Marion Zimmer"
19726,,The Door Through Space,"Bradley, Marion Zimmer"
19726,,The Door Through Space,"Bradley, Marion Zimmer"
19726,"Beyond the spaceport gates, the men of the Kharsa were hunting down a",The Door Through Space,"Bradley, Marion Zimmer"
19726,"thief. I heard the shrill cries, the pad-padding of feet in strides just",The Door Through Space,"Bradley, Marion Zimmer"
19726,"a little too long and loping to be human, raising echoes all down the",The Door Through Space,"Bradley, Marion Zimmer"
19726,dark and dusty streets leading up to the main square.,The Door Through Space,"Bradley, Marion Zimmer"
19726,,The Door Through Space,"Bradley, Marion Zimmer"
19726,But the square itself lay empty in the crimson noon of Wolf. Overhead,The Door Through Space,"Bradley, Marion Zimmer"
19726,"the dim red ember of Phi Coronis, Wolf's old and dying sun, gave out a",The Door Through Space,"Bradley, Marion Zimmer"
19726,"pale and heatless light. The pair of Spaceforce guards at the gates,",The Door Through Space,"Bradley, Marion Zimmer"
19726,"wearing the black leathers of the Terran Empire, shockers holstered at",The Door Through Space,"Bradley, Marion Zimmer"
19726,"their belts, were drowsing under the arched gateway where the",The Door Through Space,"Bradley, Marion Zimmer"
19726,"star-and-rocket emblem proclaimed the domain of Terra. One of them, a",The Door Through Space,"Bradley, Marion Zimmer"
19726,"snub-nosed youngster only a few weeks out from Earth, cocked an",The Door Through Space,"Bradley, Marion Zimmer"
19726,"inquisitive ear at the cries and scuffling feet, then jerked his head at",The Door Through Space,"Bradley, Marion Zimmer"
19726,me.,The Door Through Space,"Bradley, Marion Zimmer"
19726,,The Door Through Space,"Bradley, Marion Zimmer"
19726,"""Hey, Cargill, you can talk their lingo. What's going on out there?""",The Door Through Space,"Bradley, Marion Zimmer"
19726,,The Door Through Space,"Bradley, Marion Zimmer"
19726,I stepped out past the gateway to listen. There was still no one to be,The Door Through Space,"Bradley, Marion Zimmer"
