gutenberg_id,text,title,author
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"I took one of his cigarettes and said: ""Oh.""",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"He snapped a lighter for the cigarettes and said: ""Venus.""",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,       *       *       *       *       *,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,I was noticing that his pack of cigarettes on the bar had some kind of,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,yellow sticker instead of the blue tax stamp.,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"""Ain't that a crock?"" he asked. ""You can't smoke and they give you",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"lighters for a souvenir. But it's a good lighter. On Mars last week,",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"they gave us all some cheap pen-and-pencil sets.""",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"""You get something every trip, hah?"" I took a good, long drink of ale",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,and he finished his scotch and water.,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"""Shoot. You call a trip a 'shoot'.""",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,One of the girls was working her way down the bar. She was going to,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"slide onto the empty stool at his right and give him the business, but",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,she looked at him first and decided not to. She curled around me and,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,asked if I'd buy her a li'l ole drink. I said no and she moved on to the,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,next. I could kind of feel the young fellow quivering. When I looked at,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"him, he stood up. I followed him out of the dump. The manager grinned",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"without thinking and said, ""G'night, boys,"" to us.",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"The kid stopped in the street and said to me: ""You don't have to follow",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"me around, Pappy."" He sounded like one wrong word and I would get socked",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,in the teeth.,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"""Take it easy. I know a place where they won't spit in your eye.""",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"He pulled himself together and made a joke of it. ""This I have to see,""",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"he said. ""Near here?""",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"""A few blocks.""",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,We started walking. It was a nice night.,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"""I don't know this city at all,"" he said. ""I'm from Covington, Kentucky.",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,"You do your drinking at home there. We don't have places like this."" He",The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
29619,meant the whole Skid Row area.,The Altar at Midnight,"Kornbluth, C. M. (Cyril M.)"
